code Swiss-Prot
168L LYS_BPT4
169L LYS_BPT4
16GS GSTP1_HUMAN
16PK PGKC_TRYBB
16VP VP16_HHV11
170L LYS_BPT4
171L LYS_BPT4
172L LYS_BPT4
173L LYS_BPT4
174L LYS_BPT4
175L LYS_BPT4
176L LYS_BPT4
177L LYS_BPT4
178L LYS_BPT4
17GS GSTP1_HUMAN
180L LYS_BPT4
181L LYS_BPT4
182L LYS_BPT4
183L LYS_BPT4
184L LYS_BPT4
185L LYS_BPT4
186L LYS_BPT4
187L LYS_BPT4
188L LYS_BPT4
189L LYS_BPT4
18GS GSTP1_HUMAN
190L LYS_BPT4
1914 SRP09_MOUSE
191L LYS_BPT4
192L LYS_BPT4
193L LYSC_CHICK
194L LYSC_CHICK
195L LYS_BPT4
196L LYS_BPT4
197L LYS_BPT4
198L LYS_BPT4
199L LYS_BPT4
19GS GSTP1_HUMAN
19HC CYC9_DESDA
1A00 HBA_HUMAN
1A01 HBA_HUMAN
1A02 FOS_HUMAN
1A03 S10A6_RABIT
1A04 NARL_ECOLI
1A05 LEU3_THIFE
1A06 KCC1A_RAT
1A07 SRC_HUMAN
1A08 SRC_HUMAN
1A09 SRC_HUMAN
1A0A PHO4_YEAST
1A0B ARCB_ECOLI
1A0C XYLA_THETU
1A0D XYLA_BACST
1A0E XYLA_THENE
1A0F GST_ECOLI
1A0G DAAA_BACYM
1A0H THRB_BOVIN
1A0I DNLI_BPT7
1A0J TRY3_SALSA
1A0K PROF1_ARATH
1A0L TRYB2_HUMAN
1A0M CA1_CONEP
1A0N FYN_HUMAN
1A0O CHEA_ECOLI
1A0P XERD_ECOLI
1A0Q IGKC_MOUSE
1A0R GBB1_BOVIN
1A0S SCRY_SALTY
1A0T SCRY_SALTY
1A0U HBA_HUMAN
1A0Z HBA_HUMAN
1A11 ACHD_RAT
1A12 RCC1_HUMAN
1A13 MAST_VESXA
1A14 HVM05_MOUSE
1A15 SDF1_HUMAN
1A16 AMPP_ECOLI
1A17 PPP5_HUMAN
1A18 FABP4_MOUSE
1A19 BARS_BACAM
1A1A SRC_HUMAN
1A1B SRC_HUMAN
1A1C SRC_HUMAN
1A1D RPAB3_YEAST
1A1E SRC_HUMAN
1A1F EGR1_MOUSE
1A1G EGR1_MOUSE
1A1H EGR1_MOUSE
1A1I EGR1_MOUSE
1A1J EGR1_MOUSE
1A1K EGR1_MOUSE
1A1L EGR1_MOUSE
1A1M 1B53_HUMAN
1A1N 1B35_HUMAN
1A1O 1B53_HUMAN
1A1Q POLG_HCVBK
1A1R POLG_HCVH
1A1S OTC_PYRFU
1A1U P53_HUMAN
1A1V POLG_HCVH
1A1W FADD_HUMAN
1A1X MTCP1_HUMAN
1A1Z FADD_HUMAN
1A20 VPL1_PLEER
1A21 TF_RABIT
1A22 GHR_HUMAN
1A23 DSBA_ECOLI
1A24 DSBA_ECOLI
1A25 KPCB_RAT
1A26 PARP1_CHICK
1A27 DHB1_HUMAN
1A28 PRGR_HUMAN
1A29 CALM_BOVIN
1A2A PA23_AGKHP
1A2B RHOA_HUMAN
1A2C HIRV2_HIRME
1A2D FABP4_MOUSE
1A2F CCPR_YEAST
1A2G CCPR_YEAST
1A2I CYC3_DESVH
1A2J DSBA_ECOLI
1A2K NTF2_RAT
1A2L DSBA_ECOLI
1A2M DSBA_ECOLI
1A2N MURA_ECOLI
1A2O CHEB_SALTY
1A2P RNBR_BACAM
1A2Q SUBT_BACAM
1A2S CYC6_MONBR
1A2T NUC_STAAU
1A2U NUC_STAAU
1A2V AMO_PICAN
1A2W RNAS1_BOVIN
1A2X TNNC2_RABIT
1A2Y HVM44_MOUSE
1A2Z PCP_THELI
1A30 POL_HV1H2
1A31 TOP1_HUMAN
1A32 RS15_BACST
1A33 CYP1_BRUMA
1A34 COAT_STMV
1A35 TOP1_HUMAN
1A36 TOP1_HUMAN
1A37 1433Z_BOVIN
1A38 1433Z_BOVIN
1A39 GUN1_HUMIN
1A3A PTM3C_ECOLI
1A3B HIR2_HIRME
1A3C PYRR_BACSU
1A3D PA2_NAJNA
1A3E HIR2_HIRME
1A3F PA2_NAJNA
1A3G ILVE_ECOLI
1A3H GUN5_BACAG
1A3K LEG3_HUMAN
1A3L IGKC_MOUSE
1A3N HBA_HUMAN
1A3O HBA_HUMAN
1A3P EGF_MOUSE
1A3Q NFKB2_HUMAN
1A3R POLG_HRV2
1A3S UBC9_HUMAN
1A3T NUC_STAAU
1A3U NUC_STAAU
1A3V NUC_STAAU
1A3W KPYK1_YEAST
1A3X KPYK1_YEAST
1A3Y OBP_PIG
1A3Z RUS2_THIFE
1A40 PSTS_ECOLI
1A41 TOP1_VACCW
1A42 CAH2_HUMAN
1A43 POL_HV1N5
1A44 PEBP1_BOVIN
1A45 CRGF_BOVIN
1A46 HIRV2_HIRME
1A47 CDGT_THETU
1A48 PUR7_YEAST
1A49 KPYM_RABIT
1A4A AZUR_ALCDE
1A4B AZUR_ALCDE
1A4C AZUR_ALCDE
1A4E CATA_YEAST
1A4F HBA_ANSIN
1A4G NRAM_INBBE
1A4H HSP82_YEAST
1A4I C1TC_HUMAN
1A4J IGKC_HUMAN
1A4K IGKC_HUMAN
1A4L ADA_MOUSE
1A4M ADA_MOUSE
1A4O 1433Z_BOVIN
1A4P S10AA_HUMAN
1A4Q NRAM_INBBE
1A4R CDC42_HUMAN
1A4S BADH_GADCA
1A4T REGN_BPP22
1A4U ADH_DROLE
1A4V LALBA_HUMAN
1A4W THRB_HUMAN
1A4X PYRR_BACSU
1A4Y ANGI_HUMAN
1A4Z ALDH2_BOVIN
1A50 TRPA_SALTY
1A52 ESR1_HUMAN
1A53 TRPC_SULSO
1A54 PSTS_ECOLI
1A55 PSTS_ECOLI
1A56 CY552_NITEU
1A57 FABPI_RAT
1A58 CYP1_BRUMA
1A59 CISY_ABDS2
1A5A TRPA_SALTY
1A5B TRPA_SALTY
1A5C ALF_PLAFA
1A5D CRGE_RAT
1A5E CD2A1_HUMAN
1A5G HIRV2_HIRME
1A5H TPA_HUMAN
1A5I URT1_DESRO
1A5J MYBB_CHICK
1A5K URE1_KLEAE
1A5L URE1_KLEAE
1A5M URE1_KLEAE
1A5N URE1_KLEAE
1A5O URE1_KLEAE
1A5P RNAS1_BOVIN
1A5Q RNAS1_BOVIN
1A5R SUMO1_HUMAN
1A5S TRPA_SALTY
1A5T HOLB_ECOLI
1A5U KPYM_RABIT
1A5V POL_RSVSB
1A5W POL_RSVSB
1A5X POL_RSVSB
1A5Y PTN1_HUMAN
1A5Z LDH_THEMA
1A61 HIRV2_HIRME
1A62 RHO_ECOLI
1A63 RHO_ECOLI
1A64 CD2_RAT
1A66 NFAC1_HUMAN
1A67 CYT_CHICK
1A69 DEOD_ECOLI
1A6A 2B13_HUMAN
1A6B GAG_MLVMO
1A6C CAPSD_TRSV
1A6D THSA_THEAC
1A6E THSA_THEAC
1A6F RNPA_BACSU
1A6G MYG_PHYCA
1A6I TETR4_ECOLX
1A6J PTSN_ECOLI
1A6K MYG_PHYCA
1A6L FER1_AZOVI
1A6M MYG_PHYCA
1A6N MYG_PHYCA
1A6P CD2_RAT
1A6Q PPM1A_HUMAN
1A6R BLH1_YEAST
1A6S GAG_RSVP
1A6U HVM07_MOUSE
1A6V HVM07_MOUSE
1A6W HVM07_MOUSE
1A6X BCCP_ECOLI
1A6Y NR1D1_HUMAN
1A6Z B2MG_HUMAN
1A70 FER1_SPIOL
1A71 ADH1E_HORSE
1A72 ADH1E_HORSE
1A73 PPO1_PHYPO
1A74 PPO1_PHYPO
1A75 PRVB_MERMR
1A76 FEN_METJA
1A77 FEN_METJA
1A78 LEG1_BUFAR
1A79 ENDA_METJA
1A7A SAHH_HUMAN
1A7B CD2_RAT
1A7C PAI1_HUMAN
1A7D HEMTM_THEHE
1A7E HEMTM_THEHE
1A7F INS_HUMAN
1A7G VE2_HPV31
1A7H CRBS_BOVIN
1A7I CSRP2_COTJA
1A7J KPPR1_RHOSH
1A7K G3PG_LEIME
1A7L HBSAG_HBVD3
1A7M LIF_HUMAN
1A7N HVM44_MOUSE
1A7O HVM44_MOUSE
1A7P HVM44_MOUSE
1A7Q KV5A3_MOUSE
1A7R HVM44_MOUSE
1A7S CAP7_HUMAN
1A7T BLAB_BACFR
1A7U PRXC_STRAU
1A7V CYCP_RHOPA
1A7W HMFB_METFE
1A7X FKB1A_HUMAN
1A80 DKGA_CORSC
1A81 CD3E_HUMAN
1A82 BIOD_ECOLI
1A85 MMP8_HUMAN
1A86 MMP8_HUMAN
1A87 CEAN_ECOLX
1A88 PRXC_STRLI
1A89 CO5A1_HUMAN
1A8A ANXA5_RAT
1A8B ANXA5_RAT
1A8C CY552_NITEU
1A8D TETX_CLOTE
1A8E TRFE_HUMAN
1A8F TRFE_HUMAN
1A8G POL_HV1BR
1A8H SYM_THET8
1A8I PYGM_RABIT
1A8J LV206_HUMAN
1A8K POL_HV1BR
1A8M TNFA_HUMAN
1A8O POL_HV1N5
1A8P FENR_AZOVI
1A8Q BPA1_STRAU
1A8R GCH1_ECOLI
1A8S PRXC_PSEFL
1A8T BLAB_BACFR
1A8U PRXC_STRAU
1A8V RHO_ECOLI
1A8X ITAM_HUMAN
1A8Y CASQ1_RABIT
1A8Z RUS2_THIFE
1A90 CYT_CHICK
1A91 ATPL_ECOLI
1A92 LHDAG_HDVAM
1A93 MAX_MOUSE
1A94 POL_HV1BR
1A95 XGPT_ECOLI
1A96 XGPT_ECOLI
1A97 XGPT_ECOLI
1A98 XGPT_ECOLI
1A99 POTF_ECOLI
1A9A CO5A1_HUMAN
1A9B 1B35_HUMAN
1A9C GCH1_ECOLI
1A9E 1B35_HUMAN
1A9M POL_HV1B1
1A9N RU2A_HUMAN
1A9O PNPH_BOVIN
1A9P PNPH_BOVIN
1A9Q PNPH_BOVIN
1A9R PNPH_BOVIN
1A9S PNPH_BOVIN
1A9T PNPH_BOVIN
1A9U MK14_HUMAN
1A9V ALL2_DERPT
1A9W HBA_HUMAN
1A9X CARA_ECOLI
1A9Y GALE_ECOLI
1A9Z GALE_ECOLI
1AA0 WAC_BPT4
1AA1 RBL_SPIOL
1AA2 SPTB2_HUMAN
1AA3 RECA_ECOLI
1AA4 CCPR_YEAST
1AA6 FDHF_ECOLI
1AA7 M1_I34A1
1AA9 RASH_HUMAN
1AAB HMGB1_RAT
1AAC AMCY_PARDE
1AAF GAG_HV1MN
1AAJ AMCY_PARDE
1AAL BPT1_BOVIN
1AAM AAT_ECOLI
1AAN AMCY_PARDE
1AAO TRYB2_HUMAN
1AAP A4_HUMAN
1AAQ POL_HV1BR
1AAR UBC_BOVIN
1AAT AATC_CHICK
1AAW AAT_ECOLI
1AAX PTN1_HUMAN
1AAY EGR1_MOUSE
1AAZ GLRX_BPT4
1AB0 FABP4_MOUSE
1AB1 CRAM_CRAAB
1AB2 ABL1_HUMAN
1AB3 RS15_THETH
1AB4 GYRA_ECOLI
1AB5 CHEY_ECOLI
1AB6 CHEY_ECOLI
1AB7 BARS_BACAM
1AB8 ADCY2_RAT
1AB9 CTRA_BOVIN
1ABA GLRX_BPT4
1ABB PYGM_RABIT
1ABE ARAF_ECOLI
1ABF ARAF_ECOLI
1ABI THRB_HUMAN
1ABJ THRB_HUMAN
1ABL ABL1_HUMAN
1ABN ALDR_HUMAN
1ABO 3BP1_MOUSE
1ABQ ABL1_MOUSE
1ABR ABRA_ABRPR
1ABS MYG_PHYCA
1ABT ACHA_TORCA
1ABV ATPD_ECOLI
1ABW HBA_HUMAN
1ABY HBA_HUMAN
1AC0 AMYG_ASPNG
1AC1 DSBA_ECOLI
1AC4 CCPR_YEAST
1AC5 KEX1_YEAST
1AC6 TVA3_MOUSE
1AC8 CCPR_YEAST
1ACA ACBP_BOVIN
1ACB CTRA_BOVIN
1ACC PAG_BACAN
1ACD FABP4_MOUSE
1ACF PRO1B_ACACA
1ACI RL11_BACST
1ACJ ACES_TORCA
1ACL ACES_TORCA
1ACM PYRB_ECOLI
1ACO ACON_BOVIN
1ACP ACP_ECOLI
1ACV DSBA_ECOLI
1ACW KAX81_ANDMA
1ACX ATXA_STRGL
1ACY ENV_HV1MN
1ACZ AMYG_ASPNG
1AD1 DHPS_STAAU
1AD2 RL1_THETH
1AD3 AL3A1_RAT
1AD4 DHPS_STAAU
1AD5 HCK_HUMAN
1AD6 RB_HUMAN
1AD7 CKG_CONGE
1AD8 HIRV1_HIRME
1ADB ADH1E_HORSE
1ADC ADH1E_HORSE
1ADD ADA_MOUSE
1ADE PURA_ECOLI
1ADF ADH1E_HORSE
1ADG ADH1E_HORSE
1ADI PURA_ECOLI
1ADJ SYH_THET8
1ADL FABP4_MOUSE
1ADN ADA_ECOLI
1ADO ALDOA_RABIT
1ADQ IGHG4_HUMAN
1ADR RPC2_BPP22
1ADS ALDR_HUMAN
1ADU DNB2_ADE05
1ADV DNB2_ADE05
1ADW AZUP_PARPN
1ADX TRBM_HUMAN
1ADY SYH_THET8
1ADZ TFPI1_HUMAN
1AE1 TRN1_DATST
1AE2 G5P_BPF1
1AE3 G5P_BPF1
1AE4 AK1A1_PIG
1AE5 CAP7_HUMAN
1AE6 IGH1M_MOUSE
1AE7 PA22_NOTSC
1AE8 HIRV1_HIRME
1AE9 VINT_LAMBD
1AEB CCPR_YEAST
1AEC ACTN_ACTCH
1AED CCPR_YEAST
1AEE CCPR_YEAST
1AEF CCPR_YEAST
1AEG CCPR_YEAST
1AEH CCPR_YEAST
1AEI ANX12_HYDVU
1AEJ CCPR_YEAST
1AEK CCPR_YEAST
1AEL FABPI_RAT
1AEM CCPR_YEAST
1AEN CCPR_YEAST
1AEO CCPR_YEAST
1AEP APL3_LOCMI
1AEQ CCPR_YEAST
1AER TOXA_PSEAE
1AES CCPR_YEAST
1AET CCPR_YEAST
1AEU CCPR_YEAST
1AEV CCPR_YEAST
1AEW FRIL_HORSE
1AEX NUC_STAAU
1AEY SPTA2_CHICK
1AF0 PRZN_SERMA
1AF2 CDD_ECOLI
1AF3 B2CL1_RAT
1AF4 SUBT_BACLI
1AF5 DNE1_CHLRE
1AF6 LAMB_ECOLI
1AF7 CHER_SALTY
1AF8 ACPX_STRCO
1AF9 TETX_CLOTE
1AFA MBL1_RAT
1AFB MBL1_RAT
1AFC FGF1_BOVIN
1AFD MBL1_RAT
1AFE HIRV1_HIRME
1AFH NLTP_MAIZE
1AFI MERP_SHIFL
1AFJ MERP_SHIFL
1AFK RNAS1_BOVIN
1AFL RNAS1_BOVIN
1AFO GLPA_HUMAN
1AFP AFP_ASPGI
1AFQ CTRA_BOVIN
1AFR STAD_RICCO
1AFS DIDH_RAT
1AFT RIR2_MOUSE
1AFU RNAS1_BOVIN
1AFV POL_HV1N5
1AFW THIK_YEAST
1AFY THIK_YEAST
1AG0 AZUR_PSEAE
1AG1 TPIS_TRYBB
1AG2 PRIO_MOUSE
1AG4 SR3A_PHYPO
1AG6 PLAS_SPIOL
1AG7 CGS_CONGE
1AG8 ALDH2_BOVIN
1AG9 FLAV_ECOLI
1AGB 1B08_HUMAN
1AGC 1B08_HUMAN
1AGD 1B08_HUMAN
1AGE 1B08_HUMAN
1AGF 1B08_HUMAN
1AGG TOG4B_AGEAP
1AGI ANG1_BOVIN
1AGJ ETA_STAAU
1AGM AMYG_ASPAW
1AGN ADH7_HUMAN
1AGP RASH_HUMAN
1AGQ GDNF_RAT
1AGR GNAI1_RAT
1AGS GSTA2_HUMAN
1AGT KAX32_LEIQH
1AGW FGFR1_HUMAN
1AGX ASPQ_ACIGL
1AGY CUTI1_FUSSO
1AH0 ALDR_PIG
1AH1 CTLA4_HUMAN
1AH2 ELYA_BACAO
1AH3 ALDR_PIG
1AH4 ALDR_PIG
1AH5 HEM3_ECOLI
1AH6 HSP82_YEAST
1AH7 PHLC_BACCE
1AH8 HSP82_YEAST
1AH9 IF1_ECOLI
1AHA RIP1_MOMCH
1AHB RIP1_MOMCH
1AHC RIP1_MOMCH
1AHD ANTP_DROME
1AHE AAT_ECOLI
1AHF AAT_ECOLI
1AHG AAT_ECOLI
1AHH HDHA_ECOLI
1AHI HDHA_ECOLI
1AHJ NHAA_RHOER
1AHK ALL2_DERFA
1AHL TXAA_ANTXA
1AHM ALL2_DERFA
1AHN FLAV_ECOLI
1AHO SCX2_ANDAU
1AHP PHSM_ECOLI
1AHQ ACTP_ACACA
1AHR CALM_CHICK
1AHS VP7_AHSV4
1AHT THRB_HUMAN
1AHU VAOX_PENSI
1AHV VAOX_PENSI
1AHW IGHG1_MOUSE
1AHX AAT_ECOLI
1AHY AAT_ECOLI
1AHZ VAOX_PENSI
1AI0 INS_HUMAN
1AI1 ENV_HV1MN
1AI2 IDH_ECOLI
1AI3 IDH_ECOLI
1AI4 PAC_ECOLX
1AI5 PAC_ECOLX
1AI6 PAC_ECOLX
1AI7 PAC_ECOLX
1AI8 HIRV1_HIRME
1AI9 DYR_CANAL
1AIA AAT_ECOLI
1AIB AAT_ECOLI
1AIC AAT_ECOLI
1AID POL_HV1A2
1AIE P53_HUMAN
1AIF IGKC_MOUSE
1AIG RCEH_RHOSH
1AIH VINT_BPHP1
1AII ANXA3_HUMAN
1AIJ RCEH_RHOSH
1AIK ENV_HV1H2
1AIL NS1_I72A2
1AIM CYSP_TRYCR
1AIN ANXA1_HUMAN
1AIP EFTS_THET8
1AIQ TYSY_ECOLI
1AIR PLYC_ERWCH
1AIS TBP_PYRWO
1AIU THIO_HUMAN
1AIV TRFE_CHICK
1AIW GUNZ_DICD3
1AIX HIR3B_HIRME
1AIY INS_HUMAN
1AIZ AZUR_ALCDE
1AJ0 DHPS_ECOLI
1AJ1 LANA_ACTLG
1AJ2 DHPS_ECOLI
1AJ3 SPTA2_CHICK
1AJ4 TNNC1_CHICK
1AJ5 CPNS1_RAT
1AJ6 GYRB_ECOLI
1AJ7 IGHG1_HUMAN
1AJ8 CISY_PYRFU
1AJ9 HBA_HUMAN
1AJA PPB_ECOLI
1AJB PPB_ECOLI
1AJC PPB_ECOLI
1AJD PPB_ECOLI
1AJE CDC42_HUMAN
1AJG MYG_PHYCA
1AJH MYG_PHYCA
1AJI CALM_HUMAN
1AJJ LDLR_HUMAN
1AJK GUB_PAEMA
1AJM TYSY_ECOLI
1AJN PAC_ECOLX
1AJO GUB_PAEMA
1AJP PAC_ECOLX
1AJQ PAC_ECOLX
1AJR AATC_PIG
1AJS AATC_PIG
1AJV POL_HV1B1
1AJW GDIR1_BOVIN
1AJX POL_HV1B1
1AJY PUT3_YEAST
1AJZ DHPS_ECOLI
1AK0 NUP1_PENCI
1AK1 HEMH_BACSU
1AK2 KAD2_BOVIN
1AK4 POL_HV1N5
1AK5 IMDH_TRIFO
1AK6 DEST_PIG
1AK7 DEST_PIG
1AK8 CALM_BOVIN
1AK9 SUBT_BACAM
1AKA AATM_CHICK
1AKB AATM_CHICK
1AKC AATM_CHICK
1AKD CPXA_PSEPU
1AKE KAD_ECOLI
1AKF ESR1_HUMAN
1AKG CA1B_CONPE
1AKH MATA1_YEAST
1AKI LYSC_CHICK
1AKJ 1A02_HUMAN
1AKK CYC_HORSE
1AKL APRA_PSEAE
1AKM OTC1_ECOLI
1AKN CEL_BOVIN
1AKO EX3_ECOLI
1AKP KEDA_ACTSL
1AKQ FLAV_DESVH
1AKR FLAV_DESVH
1AKS TRYP_PIG
1AKT FLAV_DESVH
1AKU FLAV_DESVH
1AKV FLAV_DESVH
1AKW FLAV_DESVH
1AKY KAD1_YEAST
1AKZ UNG_HUMAN
1AL0 B_BPPHX
1AL2 POLG_POL1M
1AL3 CYSB_KLEPN
1AL6 CISY_CHICK
1AL7 GOX_SPIOL
1AL8 GOX_SPIOL
1ALA ANXA5_CHICK
1ALB FABP4_MOUSE
1ALC LALBA_PAPCY
1ALD ALDOA_HUMAN
1ALE APOC1_HUMAN
1ALF APOC1_HUMAN
1ALG GSHR_HUMAN
1ALH PPB_ECOLI
1ALI PPB_ECOLI
1ALJ PPB_ECOLI
1ALK PPB_ECOLI
1ALL PHAA_SPIPL
1ALM ACTS_RABIT
1ALN CDD_ECOLI
1ALQ BLAC_STAAU
1ALS FCERA_HUMAN
1ALT FCERA_HUMAN
1ALU IL6_HUMAN
1ALV CPNS1_PIG
1ALW CPNS1_PIG
1ALY CD40L_HUMAN
1AM1 HSP82_YEAST
1AM2 GYRA_MYCXE
1AM4 CDC42_HUMAN
1AM5 PEP2B_GADMO
1AM6 CAH2_HUMAN
1AM7 LYS_LAMBD
1AM9 SRBP1_HUMAN
1AMA AATM_CHICK
1AMB A4_HUMAN
1AMC A4_HUMAN
1AME ANP12_MACAM
1AMF MODA_ECOLI
1AMH TRY2_RAT
1AMI ACON_BOVIN
1AMJ ACON_BOVIN
1AMK TPIS_LEIME
1AML A4_HUMAN
1AMM CRGB_BOVIN
1AMN ACES_TORCA
1AMO NCPR_RAT
1AMP AMPX_VIBPR
1AMQ AAT_ECOLI
1AMR AAT_ECOLI
1AMS AAT_ECOLI
1AMU GRSA_ANEMI
1AMW HSP82_YEAST
1AMX CNA_STAAU
1AMY AMY2_HORVU
1AMZ CISY_CHICK
1AN0 CDC42_HUMAN
1AN1 LDTI_HIRME
1AN2 MAX_HUMAN
1AN3 PRLR_RABIT
1AN4 USF1_HUMAN
1AN5 TYSY_ECOLI
1AN7 RS8_THETH
1AN8 SPEC_STRP8
1AN9 OXDA_PIG
1ANB TRY2_RAT
1ANC TRY2_RAT
1AND TRY2_RAT
1ANE TRY2_RAT
1ANF MALE_ECOLI
1ANG ANGI_HUMAN
1ANI PPB_ECOLI
1ANJ PPB_ECOLI
1ANK KAD_ECOLI
1ANN ANXA4_BOVIN
1ANP ANF_HUMAN
1ANS TXA3_ANESU
1ANT ANT3_HUMAN
1ANU CIPA_CLOTH
1ANV DNB2_ADE05
1ANW ANXA5_HUMAN
1ANX ANXA5_HUMAN
1AO0 PUR1_BACSU
1AO3 VWF_HUMAN
1AO5 EGFB2_MOUSE
1AO6 ALBU_HUMAN
1AO7 1A02_HUMAN
1AO8 DYR_LACCA
1AOA PLST_HUMAN
1AOB TYSY_ECOLI
1AOC COAG_TACTR
1AOD PLC_LISMO
1AOE DYR_CANAL
1AOF NIRS_PARPN
1AOG TYTR_TRYCR
1AOH CIPA_CLOTH
1AOI H2A1_XENLA
1AOJ EPS8_MOUSE
1AOK PA21B_VIPAE
1AOL ENV_MLVF5
1AOM NIRS_PARPN
1AON CH10_ECOLI
1AOO MTCU_YEAST
1AOP CYSI_ECOLI
1AOQ NIRS_PARPN
1AOR AOR_PYRFU
1AOS ARLY_HUMAN
1AOT FYN_HUMAN
1AOU FYN_HUMAN
1AOV TRFE_ANAPL
1AOW ANXA4_BOVIN
1AOX ITA2_HUMAN
1AOY ARGR_ECOLI
1AOZ ASO_CUCPM
1AP0 CBX1_MOUSE
1AP4 TNNC1_HUMAN
1AP5 SODM_HUMAN
1AP6 SODM_HUMAN
1AP7 CDN2D_MOUSE
1AP8 IF4E_YEAST
1AP9 BACR_HALSA
1APA RIPA_PHYAM
1APB ARAF_ECOLI
1APC C562_ECOLX
1APF TXAB_ANTXA
1APG RICI_RICCO
1APH INS_BOVIN
1APJ FBN1_HUMAN
1APK KAP0_BOVIN
1APL MTAL2_YEAST
1APM IPKA_MOUSE
1APN CONA_CANEN
1APO FA10_BOVIN
1APQ C1R_HUMAN
1APS ACYP2_HORSE
1APT PENP_PENJA
1APU PENP_PENJA
1APV PENP_PENJA
1APW PENP_PENJA
1APX APX1_PEA
1APY ASPG_HUMAN
1APZ ASPG_HUMAN
1AQ0 GUB2_HORVU
1AQ1 CDK2_HUMAN
1AQ2 PCKA_ECOLI
1AQ3 COAT_BPMS2
1AQ4 COAT_BPMS2
1AQ5 MATN1_CHICK
1AQ6 HAD_XANAU
1AQ7 TRY1_BOVIN
1AQ8 NIR_ALCFA
1AQA CYB5_RAT
1AQB RET4_PIG
1AQC APBA1_HUMAN
1AQD 1A02_HUMAN
1AQE CYC32_DESNO
1AQF KPYM_RABIT
1AQG GNAT1_BOVIN
1AQH AMY_PSEHA
1AQI MTTA_THEAQ
1AQJ MTTA_THEAQ
1AQK IGHG1_HUMAN
1AQL CEL_BOVIN
1AQM AMY_PSEHA
1AQN SUBT_BACAM
1AQP RNAS1_BOVIN
1AQQ MTCU_YEAST
1AQR MTCU_YEAST
1AQS MTCU_YEAST
1AQT ATPE_ECOLI
1AQU ST1E1_MOUSE
1AQV GSTP1_HUMAN
1AQW GSTP1_HUMAN
1AQX GSTP1_HUMAN
1AQY ST1E1_MOUSE
1AQZ RNMG_ASPRE
1AR0 NTF2_RAT
1AR1 COX1B_PARDE
1AR2 KV115_HUMAN
1AR4 SODM_PROFR
1AR5 SODM_PROFR
1AR6 POLG_POL1M
1AR7 POLG_POL1M
1AR8 POLG_POL1M
1AR9 POLG_POL1M
1ARB API_ACHLY
1ARC API_ACHLY
1ARD ADR1_YEAST
1ARE ADR1_YEAST
1ARF ADR1_YEAST
1ARG AAT_ECOLI
1ARH AAT_ECOLI
1ARI AAT_ECOLI
1ARK NEBU_HUMAN
1ARL CBPA1_BOVIN
1ARM CBPA1_BOVIN
1ARO NAAA_BPT7
1ARP PER_ARTRA
1ARQ RARC_BPP22
1ARR RARC_BPP22
1ARS AAT_ECOLI
1ART AAT_ECOLI
1ARU PER_ARTRA
1ARV PER_ARTRA
1ARW PER_ARTRA
1ARX PER_ARTRA
1ARY PER_ARTRA
1ARZ DAPB_ECOLI
1AS0 GNAI1_RAT
1AS1 FABH_ASCSU
1AS2 GNAI1_RAT
1AS3 GNAI1_RAT
1AS4 AACT_HUMAN
1AS5 CM3E_CONPU
1AS6 NIR_ALCFA
1AS7 NIR_ALCFA
